ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
067103412X,Wicked,"Lady Sofia Beatrice Rosalynde Anne Therese Howard, a ward of King Edwawrd I, who is dedicated to fending off her many suitors, finds her considerble defenses weakened by the arrogant and dashing Sir Tobin de Clare.",Jill Barnett,1999,,404.0,Fiction
0345282159,Juxtaposition,"Stile learns Magic, and dragon fighting and wins the friendship of a lady unicorn.",Piers Anthony,1983-04-01,Del Rey,358.0,Fiction
0446311774,Innocent Blood,"Adopted at age eight, Philippa Palfrey learns that she is the daughter of a rapist and a murderess who is soon to be paroled from a life sentence for killing a child whose father seeks revenge",P. D. James,1982,Grand Central Pub,349.0,Fiction
0440204429,Perfect Victim,"“True crime at its most shocking, most harrowing, and . . . most thought-provoking.”—Booklist In 1977 twenty-year-old Colleen Stan left home to hitchhike from Oregon to California. Seven years later she emerged from hell, the victim of a bizarre and extraordinary crime. This is Colleen's incredible true story, told by the determined young district attorney who prosecuted the man who had forced her to endure years of sexual perversion . . . and held her captive in a coffin-like box under his and his wife's bed. A story of riveting psychological intensity and gripping courtroom drama, Perfect Victim reveals the whole truth about Collen Stan's real-life nightmare . . . and the psychopath who enslaved her body and her mind. “Horrifying!”—The Cincinnati Post “Hard to put down!”—Chicago Tribune “A gripping and disturbing story of the secret life of apparently normal people. At once, horrific and engrossing.”—Vincent Bugliosi, author of Helter Skelter","Christine McGuire, Carla Norton",1989-07-01,Dell,394.0,True Crime
0373250118,See Jane Date,Debut. Contemporary relationships. Humour.,Melissa Senate,2001,"Don Mills, Ont. : Red Dress Ink",292.0,Fiction
0451450124,Wyrd Sisters,"Granny Weatherwax is the most highly-regarded non-leader a coven of non-social witches could ever have. Generally, these loners don't get involved in anything, much less royal intrigue. But then there are those times they can't help it. As Granny Weatherwax is about to discover, it's a lot harder to stir up trouble in the castle than some theatrical types would have you think.",Terry Pratchett,1990-06-05,Roc,248.0,Fiction
0425152367,Private Altars,"In the 1920s, a clash of cultures when a sophisticated New York bride arrives in a provincial town in West Virginia. The woman's problems multiply when her husband leaves her and she must face the town's hostility, alone with two children. A first novel.",Katherine Mosby,1996,Berkley,388.0,Fiction
0061099155,People of Darkness,"Who would murder a dying man? Why would someone steal a box of rocks? And why would a rich man's wife pay $3,000 to get them back? These questions haunt Sgt. Jim Chee of the Navajo Tribal Police as he journeys into the scorching Southwest. But there, out in the Bad Country, a lone assassin waits for Chee to come seeking answers, waits ready and willing to protect a vision of death that for thirty years has been fed by greed and washed in blood.",Tony Hillerman,1991-02-04,Harper Collins,308.0,Fiction
038082082X,The Rake,"A Regency romp about a young lady who vows revenge on the rakish lord who loved and left her, only to find herself unexpectedly caught in Cupid's net along with the handsome viscount when her plan to love and leave him backfires.",Suzanne Enoch,2002-06-04,Avon,240.0,Fiction
0670878812,Riven Rock,"In his most fully realized and compassionate novel to date, T.C. Boyle transforms two characters straight out of history into rich, mythic creations whose tortured love and epic story is intimate enough to break our hearts. Wed to Stanley McCormick, a schizophrenic sexual maniac, Katherine Dexter struggles to cure him while he is locked up in his Santa Barbara mansion and forbidden the mere sight of a woman--above all, his wife.",T. Coraghessan Boyle,1998,Viking Adult,488.0,Fiction
