ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0060955775,,,,,,,
0380811073,Worth Any Price,"What is the price of love? Nick Gentry is reputed to be the most skillful lover in all England. Known for solving delicate situations, he is hired to seek out Miss Charlotte Howard. He believes his mission will be easily accomplished -- but that was before he met the lady in question. For instead of a willful female, he discovers one in desperate circumstances, hiding from a man who would destroy her very soul. So Nick shockingly offers her a very different kind of proposition -- one he has never offered before. He asks her to be his bride. And he knows that this will be much more than a union in name only. For he senses what Charlotte does not yet know -- that her appetite for sensuality matches his own. But what Nick learns surprises him. For while London's most notorious lover might claim Charlotte's body, he quickly discovers it will take much more than passion to win her love.",Lisa Kleypas,2003-01-28,Avon,400.0,Fiction
0440209358,Bones and Silence,"One woman dead and one threatening to die set Yorkshire's police superintendent Dalziel and Inspector Pascoe on a chilling hunt for a killer and a potential suicide. A drunken Dalziel witnesses the murder that others insist is a tragic accident. Meanwhile the letters of an anonymous woman say she plans to kill herself in a spectacular way...unless Pascoe can find her first. Dalziel has been picked to play God in a local Mystery Play, but can he live up to his role by solving this puzzling psychological thriller...or unveiling the passions and perversions that lie hidden in the human heart?",Reginald Hill,1991,Dalziel and Pascoe Mysteries (,0.0,Fiction
0060083298,The Dominant Blonde,"Lydia Gold is ready for a vacation from her life. The Caribbean resort's a little shabby, by Lydia's experiencing what it's life to have someone madly in love with her. But when Abe doesn't return from a scuba dive, Lydia discovers some decidedly unsavory facts ...",Alisa Kwitney,2002-05-14,Harper Collins,290.0,Fiction
0425179885,The Devil's Code,"“Crime fiction doesn’t have nearly enough droll master thieves like Kidd and his stunning partner in righteous crime, LuEllen.”—Los Angeles Times When Kidd—artist, computer whiz, and professional criminal—learns of a colleague’s murder, he doesn’t buy the official story: that a jittery security guard caught the hacker raiding the files of a high-tech Texas corporation. It’s not what his friend was looking for that got him killed. It’s what he already knew. For Kidd and LuEllen, infiltrating the firm is the first move. Discovering the secrets of its devious entrepreneur is the next. But it’s more than a secret—it’s a conspiracy. And it’s landed Kidd and LuEllen in the cross-hairs of an unknown assassin hellbent on conning the life out of the ultimate con artists....",John Sandford,2001-10-01,Penguin,369.0,Fiction
0671729497,Web of Dreams,"With nowhere to go, no one to help her, will Leigh flee into the arms of the one person she shouldn’t run to? Don’t miss this fifth and final installment in the Casteel family saga from New York Times bestselling author and literary phenomenon V.C. Andrews (Flowers in the Attic, My Sweet Audrina), now a major Lifetime movie event. Leigh VanVoreen had to escape from Boston’s Farthinggale Manor. The foul secret she harbored within her seemed to darken her life forever. Jillian, her mother, would not believe her, and Tony Tatterton, her stepfather, had betrayed her cruelly. But the pure devotion of Luke Casteel promised her hope and respect. Only Luke knew her deepest of secrets…only Luke would love and protect her. Bravely she bore the suspicions of the Willies’ hillfolk, as she tried to grasp the happiness that had so long eluded her. Leigh prayed with all her heart that her bright, shining dreams would save her from tragedy at last…",V.C. Andrews,1990,Pocket Books,452.0,Fiction
0789254484,PSTCD-WISH YOU WERE HERE -OS,,,,,0.0,
0449904628,Dave Barry Slept Here,The syndicated humor columnist offers simple and wildly humorous solutions to the problems of educating Americans on their nation's history.,Dave Barry,1990,Fawcett,0.0,History
0451187741,Trail of Secrets,"Links in a chain of love and loss, three women linked together in a way none of them knew and each would discover as they moved toward the most shocking discovery and cruelest choice a woman should ever have to make.",Eileen Goudge,1997,Signet Book,534.0,Fiction
074324642X,Flirting with Pete,Don't miss these terrific titles from New York Times bestselling author,Barbara Delinsky,2003,Scribner Book Company,376.0,Fiction
