ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0380721228,Tell Me No Secrets,"People are inexplicably disappearing from Chicago prosecutor Jess Koster's life. First her mother vanished without a trace eight years ago. And now a client, the victim of a brutal, sadistic rapist, is also missing. Someone is disrupting Jess's neat, ordered existence with chaos and terror. And from the shadow of her past, a maniac is watching her . . .stalking her -- until there is no one Jess can trust her mysterious tormentor is perilously close -- and that the next person to vanish from the face of the Earth will be Jess Koster.",Joy Fielding,1994-03-01,Avon,416.0,Fiction
0451524411,A Tale of Two Cities,"After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine. This edition uses the text as it appeared in its first serial publication in 1859 to convey the full scope of Dickens's vision, and includes the original illustrations by H. K. Browne ('Phiz'). Richard Maxwell's introduction discusses the intricate interweaving of epic drama with personal tragedy. Book jacket.",Charles Dickens,1960-02,Signet Classics,388.0,Fiction
0552999458,Dead Famous,"One house. Ten contestants. Thirty cameras. Forty microphones. Yet again the public gorges its voyeuristic appetite as another group of unknown and unremarkable people submit themselves to the brutal exposure of the televised real-life soap opera, House Arrest. Everybody knows the rules- total strangers are forced to live together while the rest of the country watches them do it. Who will crack first? Who will have sex with whom? Who will the public love and who will they hate? All the usual questions. And then, suddenly, there are some new ones. Who is the murderer? How did he or she manage to kill under the constant gaze of the thirty television cameras? Why did they do it? And who will be next?",Ben Elton,2002,Random House,388.0,Fiction
0805462996,Letters to Baby,"Presents responses to the question ""What would you tell a newborn baby that you have found to be important in your life?"" Includes responses from Art Linkletter, Dan Quayle, Ronald Reagan, Amy Grant, and Kathy Lee Giffford.",Chaz Corzine,1997,B&H Publishing Group,152.0,Family & Relationships
0451407229,In the Cut,"Author Susanna Moore will throw readers headlong into a dark place, where the razor thin line between lust and fear blur in this haunting erotic thriller. An attractive woman stumbles upon an intimate encounter in the basement of a bar. But the man's eyes unexpectedly meet hers, and a nightmare of passion and terror begins.",Susanna Moore,1996-11-22,Onyx Books,278.0,Fiction
0449001725,Murder in the House,"He died beneath the Statue of Freedom, clutching a 9-mm pistol in his hand. But as dawn rose, the politician would die again--in a hail of rumor and character assassination. Now one man suspects the shattering truth: that the congressman's suicide was a carefully planned murder. In the heart of the free world, a furious struggle begins: to reclaim a man's innocence, expose a woman's lie, and stop a chilling conspiracy of murder that reaches halfway around the world. . . .",Margaret Truman,1998-06-28,Fawcett,353.0,Fiction
0380793660,Murder Gets a Life,"Patricia Anne can't imagine why Mary Alice is in such an uproar over her son Ray's new bride. Sunshine Dabbs is Ucute as can be,"" even if she is a bit unconventional, which should hardly come as a shock to Mary Alicc given that she's the one who raised her boy. But with all her motherly instincts, Mary Alice is sure that this sweet little blonde Barbie doll--who met her son in Bora Bora after she won the trip on Wheel of Fortune--thinks she's found herself a fortune in Ray's hefty wallet. The sisters can't wait to get a look at Sunshine's family, and quite a look it turns out to be. As soon as Meemaw Turkett invites Mary Alice and Patricia Anne into her cozy trailer on the family compound they stumble over a corpse, and Meemaw's best hog butchering knife is stuck in its chest. Meemaw, a Cabbage Patch look-alike and Sunshine's grandmother, guardian, and the family matriarch is shocked to pieces and immediately summons the family to her trailer. Pawpaw, a lovable bearded grump has his own trailer, and their grown kids each enjoy a private home-away-from-home on the five-trailer compound. The discovery of the mysterious body brings in Mary Alice's nemesis, good ol' boy Sheriff Reuse, who, she knows from her experience at the Skoot 'n' Boot, is nothing but trouble. Within minutes, the compound is strewn with a weird collection of friends, neighbors and relatives. There's Meemaw's spooky channeler, ready to give guidance as needed; Sunshine's jilted boyfriend skulking around; a bunch of dogs ready to attack...and Kerrigan, Sunshine's mostly absentee mama, who stars in the kind of video flicks that might even shock Mary Alice. Patricia Anne can't imagine why Mary Alice is in such an uproar over her son Ray's new bride. Sunshine Dabbs is Ucute as can be,"" even if she is a bit unconventional, which should hardly come as a shock to Mary Alicc given that she's the one who raised her boy. But with all her motherly instincts, Mary Alice is sure that this sweet little blonde Barbie doll--who met her son in Bora Bora after she won the trip on Wheel of Fortune--thinks she's found herself a fortune in Ray's hefty wallet. The sisters can't wait to get a look at Sunshine's family, and quite a look it turns out to be. As soon as Meemaw Turkett invites Mary Alice and Patricia Anne into her cozy trailer on the family compound they stumble over a corpse, and Meemaw's best hog butchering knife is stuck in its chest. Meemaw, a Cabbage Patch look-alike and Sunshine's grandmother, guardian, and the family matriarch is shocked to pieces and immediately summons the family to her trailer. Pawpaw, a lovable bearded grump has his own trailer, and their grown kids each enjoy a private home-away-from-home on the five-trailer compound. The discovery of the mysterious body brings in Mary Alice's nemesis, good ol' boy Sheriff Reuse, who, she knows from her experience at the Skoot 'n' Boot, is nothing but trouble. Within minutes, the compound is strewn with a weird collection of friends, neighbors and relatives. There's Meemaw's spooky channeler, ready to give guidance as needed; Sunshine's jilted boyfriend skulking around; a bunch of dogs ready to attack...and Kerrigan, Sunshine's mostly absentee mama, who stars in the kind of video flicks that might even shock Mary Alice.",Anne George,1999-06-01,Avon,276.0,Fiction
0345402871,Airframe,"Three passengers are dead. Fifty-six are injured. The interior cabin virtually destroyed. But the pilot manages to land the plane. . . . At a moment when the issue of safety and death in the skies is paramount in the public mind, a lethal midair disaster aboard a commercial twin-jet airliner bound from Hong Kong to Denver triggers a pressured and frantic investigation. AIRFRAME is nonstop reading: the extraordinary mixture of super suspense and authentic information on a subject of compelling interest that has been a Crichton landmark since The Andromeda Strain.",Michael Crichton,1996,"Random House Digital, Inc.",443.0,Fiction
0061093327,Low Country,"Caroline Venable has everything her Southern heritage promised: money, prestige, a powerful husband—and a predictable routine of country-club luncheons, cocktail parties, and dinners hosting her husband's wealthy friends, clients, and associates in his successful land-developing conglomerate. To escape her stifling routine, Caro drinks a little too much. But her true solace is the Lowcountry island her beloved Granddaddy left her—an oasis of breathtaking beauty that is home to a band of wild ponies. When Caro learns that her husband must develop the island or lose the business, she is devastated. The Lowcountry is her heritage—and what will happen to the ponies whose spirit and freedom have captivated her since childhood? Saving the island could cost Caroline more than she ever imagined. To succeed, she must confront the part of herself numbed by alcohol and careful avoidance—and shatter long-held ideals about her role in society, her marriage, and ultimately, herself.",Anne Rivers Siddons,1999-05-05,HarperTorch,480.0,Fiction
0812511751,The Elvenbane,Fantasy.,"Andre Norton, Mercedes Lackey",1993-04-15,Macmillan,580.0,Fiction
