ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0671721542,When the Bough Breaks,"Equipped with more inherent psi power than any mortal or elf, an abused little girl threatens to destroy Earth and the Fairie world, unless the elves can stop her","Mercedes Lackey, Holly Lisle",1993-01,Baen Books,279.0,Fiction
0449214192,Centennial,"Written as a tribute to America's bicentennial celebration. Centennial is an epic novel of the history, land, and people of Colorado. Centered around the fictional town of Centennial, the story contains an extensive cast of characters including Native Americans, French fur trappers, English noblemen, and American cowboys, all caught up in the dramatic events and violent conflicts that shaped the destiny of the legendary West.",James Albert Michener,1974,Fawcett,1056.0,Fiction
014028009X,Bridget Jones's Diary,"The #1 bestselling book that defined the 20th century—now updated for the 25th Anniversary! Meet Bridget Jones—a 30-something Singleton who is certain she would have all the answers if she could: a. lose 7 pounds b. stop smoking c. develop Inner Poise Bridget Jones’s Diary is the devastatingly self-aware, laugh-out-loud daily chronicle of Bridget’s permanent, doomed quest for self-improvement—a year in which she resolves to: visit the gym three times a week, not just to buy a sandwich, form a relationship with a functional adult, and learn to work the television remote. Over the course of the year, Bridget loses a total of 72 pounds but gains a total of 74. She remains, however, optimistic. Through it all, Bridget will have you helpless with laughter, and—like millions of readers the world round—you’ll find yourself shouting, “Bridget Jones is me!”",Helen Fielding,1999-06-01,Penguin,292.0,Fiction
0440222656,The Horse Whisperer,"His name is Tom. His voice can calm wild horses, his touch can heal broken spirits. And Annie has traveled a long ways to find him, desperate to heal her injured daughter, her horse, and her heart.",Nicholas Evans,1996,"Random House Digital, Inc.",472.0,Fiction
0743418174,Good in Bed,"A contemporary Cinderella tale told with intelligence, wit and style.",Jennifer Weiner,2002-04-02,Simon and Schuster,432.0,Fiction
0446321095,Ancient Evenings,"Ancient Evenings, a dazzlingly rich, deeply evocative novel, recreates the long-lost civilisation of Ancient Egypt. Mailer breathes life into the figures of that era; the eighteenth dynasty Pharaoh Rameses and his wife, Queen Nefertiti; Menenhetet, their creature, lover and victim; and the gods and mortals that surround them in intimate and telepathic communion. His hero, three times reincarnated during the novel, moves in the bright sunlight of white temples, in the exquisite gardens of the royal harem, along the majestic flow of the Nile and in the terrifying clash of battle. An outstanding work of creative imagination, Ancient Evenings displays Mailer's obsession with magic, violence and eroticism and lives on in the mind long after the last page has been turned.",Norman Mailer,1984,,868.0,Fiction
0425174654,By Hook Or by Book,"Reference librarian Megan Clark has a passion for fictional crime--but when she and her fellow book group members go from reading mysteries to solving them, they discover that real-life crime is more complex than the most puzzling mystery.",Doris R. Meredith,2000,Berkley,0.0,Amarillo (Tex.)
0375706771,Midwives,"NATIONAL BESTSELLER • This modern classic from the author of The Flight Attendant is a compulsively readable novel that explores questions of human responsibility that are as fundamental to our society now as they were when the book was first published. A selection of Oprah's original Book Club that has sold more than two million copies. On an icy winter night in an isolated house in rural Vermont, a seasoned midwife named Sibyl Danforth takes desperate measures to save a baby’s life. She performs an emergency cesarean section on a mother she believes has died of stroke. But what if—as Sibyl's assistant later charges—the patient wasn't already dead? The ensuing trial bears the earmarks of a witch hunt, forcing Sibyl to face the antagonism of the law, the hostility of traditional doctors, and the accusations of her own conscience. Exploring the complex and emotional decisions surrounding childbirth, Midwives engages, moves, and transfixes us as only the very best novels ever do. Look for Chris Bohjalian's new novel, The Lioness!",Chris Bohjalian,1998-11-08,Vintage,386.0,Fiction
0060199652,Prodigal Summer,"Barbara Kingsolver, a writer praised for her""extravagantly gifted narrative voice"" (New York Times Book Review), has created with this novel a hymn to wildness that celebrates the prodigal spirit of human nature, and of nature itself. Prodigal Summer weaves together three stories of human love within a larger tapestry of lives inhabiting the forested mountains and struggling small farms of southern Appalachia. At the heart of these intertwined narratives is a den of coyotes that have recently migrated into the region. Deanna Wolfe, a reclusive wildlife biologist, watches the forest from her outpost in an isolated mountain cabin where she is caught off-guard by Eddie Bondo, a young hunter who comes to invade her most private spaces and confound her self-assured, solitary life. On a farm several miles down the mountain, another web of lives unfolds as Lusa Maluf Landowski, a bookish city girl turned farmer's wife, finds herself unexpectedly marooned in a strange place where she must declare or lose her attachment to the land. And a few more miles down the road, a pair of elderly, feuding neighbors tend their respective farms and wrangle about God, pesticides, and the complexities of a world neither of them expected. Over the course of one humid summer, as the urge to procreate overtakes a green and profligate countryside, these characters find connections to one another and to the flora and fauna with which they necessarily share a place. Their discoveries are embedded inside countless intimate lessons of biology, the realities of small farming, and the final, urgent truth that humans are only one part of life on earth. With the richness that characterizes Barbara Kingsolver's finest work, Prodigal Summer embraces pure thematic originality and demonstrates a balance of narrative and ideas that only an accomplished novelist could render so beautifully.",Barbara Kingsolver,2000-10-17,Harper,464.0,Fiction
038081479X,Heart of a Warrior,"Stunning statuesque Brittany Callaghan isn't used to seeing Nordic gods in her tiny California town. But when the spectacular blond Viking—whose name is Dalden—turns up at her doorstep, Brittany knows her dream man is very real. Dalden claims to be a barbarian warrior—since Brittany's passion has been running red–hot since she first saw him, the sexy giant can fancy himself anything he pleases!The truth is a very rude awakening—for Dalden is exactly what he claims to be: a warrior to the depths of his soul from a place where the women always obey. Intelligent, independent Brittany isn't about to be subservient to any male—not even one who's everything she ever wanted in a lover. But the proud, powerful barbarian is accustomed to fighting for what he wants—and winning. And what her wants most of all . . . is Brittany.",Johanna Lindsey,2002-03-05,Avon,432.0,Fiction
0399141383,Sudden Prey,"After a notorious woman bank robber is killed in a shoot-out with a Minneapolis police team headed by Lucas Davenport, her husband vows to avenge her death by learning the names of the cops responsible and murdering their loved ones.",John Sandford,1996,Putnam Adult,376.0,Fiction
0758204175,,,,,,,
0345439244,Remembering Blue,"Recently widowed Mattie Blue recalls her life with her beloved husband, Nick.",Connie May Fowler,2000,Ballantine Books,320.0,Fiction
0380711699,Grass Roots,"Will Lee, chief aide to Benjamin Carr, Washington's most powerful senator, is drawn into a political brawl and his life is threatened.",S Woods,1990-05-01,Avon,502.0,Fiction
0679759336,The Fermata,"Having turned phone sex into the subject of an astonishing national bestseller in Vox, Baker now outdoes himself with an outrageously arousing, acrobatically stylish ""X-rated sci-fi fantasy that leaves Vox seeming more like mere fiber-optic foreplay"" (Seattle Times). ""Sparkling.""--San Francisco Chronicle.",Nicholson Baker,1995-01-24,Vintage,324.0,Fiction
0553285246,Prince of the Blood,"Updated and revised with new material for its 15th anniversary, this special edition presents the novel--with its sweeping imagination, wonderfully drawn characters, and dark intrigue--as Feist always meant for it to be written.",Raymond E. Feist,1990,Spectra,404.0,Fiction
0671670913,Anything for Billy,"The adventures of Billy the Kid, the American West's most legendary outlaw.",Larry McMurtry,1989,,424.0,Fiction
0141301120,Charlie and the Great Glass Elevator,"Mr. Willy Wonka might be a genius with chocolate, but Charlie and his family don't trust his flying skills one bit. And right now, he's at the helm of a giant glass elevator that's picking up speed and hurtling through space -- with Charlie and the entire Bucket family stuck inside! Roald Dahl's uproarious sequel to ""Charlie and the Chocolate Factory"" is certain to delight and entertain a new generation of readers. ""From the Hardcover edition.""",Roald Dahl,1998,Puffin,182.0,Humorous stories
0380789949,This Time Love,"Joy Anderson was young and trusting when she served as a guide for aspiring journalist Gabe Venture. Surrounded by the staggering natural beauty of New Mexico's Lost River Cave, Joy gave herself freely to the most extraordinary man she had ever known. But even the passion they shared could not hold him—and Gabe left Joy with a broken heart . . . and, nine months later, with a cherished, if painful, reminder of their lost love. Now Joy is a respected doctor with no room in her life for shattered dreams. And Gabe has returned at the pinnacle of his profession, longing to fill the inner emptiness that has rendered his achievements bittersweet. Joy, however, has nursed her wounds and moved on; he has arrived far too late to be welcomed back into her heart. But while there is still magic beneath the rolling New Mexican desert—in the breathtaking world of mystery and wonder where the miracle was born—can it ever be too late for love?",Elizabeth Lowell,2003-10-28,Avon,384.0,Fiction
0373291493,Ice Maiden,"Ice Maiden by Debra Lee Brown released on Jan 25, 2001 is available now for purchase.",Debra Lee Brown,2001,Harlequin Books,308.0,Fiction
