ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0380814811,Home for the Holidays,"Left to handle the rumors other family's bankruptcy and impending eviction, Larissa Ascots wishes for a merry Christmas seem to be in peril for the first time in her sheltered life. A charming would-be ""benefactor,""Vincent Everett, the Baron of Windsmoor, has offered to shelter Larissa and her young brother. But more than Yuletide spirit seems to have inspired the baron's generostity.From the moment he first set eyes on Larissa, the highborn rogue was bewitched. And now that she has taken up residence in his home, he aches with wanting her-a most unfortunate state of affairs, since the proud beauty obviously despises him ... and since Vincent has sworn to seek a righteous vengeance on the Ascot family. But Christmas is a time of miracles, after all. And even two rival souls can be touched by the spirit of forgiveness inthese magical days and showered with precious gifts of tenderness, love, and ecstasy unbound.",Johanna Lindsey,2001-10-30,Avon,352.0,Fiction
0671038184,Jewel,A mother fights for the dignity of her youngest daughter against the backdrop of a pure and simple way of life in the backwoods of Mississippi in 1943.,Bret Lott,1991,Simon and Schuster,368.0,Fiction
0553244388,Champagne for One,"Faith Usher had a decidedly morbid personality. She talked about taking her life, and kept cyanide in her purse. So when she collapses and dies from a lethal champagne cocktail in the middle of a high society dinner party, everyone calls it suicide—including the police. But Archie was watching it all, and suspects it was murder. So does Nero Wolfe, especially after he's warned by four men against taking the case. For the world's most formidable detective it is a tantalizing puzzle involving an unlikely combination of philanthropy, deception, blackmail, and an unrepentant killer who just may have committed the perfect crime. Introduction by Lena Horne “It is always a treat to read a Nero Wolfe mystery. The man has entered our folklore.”—The New York Times Book Review A grand master of the form, Rex Stout is one of America’s greatest mystery writers, and his literary creation Nero Wolfe is one of the greatest fictional detectives of all time. Together, Stout and Wolfe have entertained—and puzzled—millions of mystery fans around the world. Now, with his perambulatory man-about-town, Archie Goodwin, the arrogant, gourmandizing, sedentary sleuth is back in the original seventy-three cases of crime and detection written by the inimitable master himself, Rex Stout.",Rex Stout,1995-12-08,Crimeline,225.0,Fiction
0373790856,Show & Tell,"Show & Tell by Rhonda Nelson released on Mar 25, 2003 is available now for purchase.",Rhonda Nelson,2003,,260.0,Fiction
0375406182,Plainsong,"A heartstrong story of family and romance, tribulation and tenacity, set on the High Plains east of Denver. In the small town of Holt, Colorado, a high school teacher is confronted with raising his two boys alone after their mother retreats first to the bedroom, then altogether. A teenage girl -- her father long since disappeared, her mother unwilling to have her in the house -- is pregnant, alone herself, with nowhere to go. And out in the country, two brothers, elderly bachelors, work the family homestead, the only world they've ever known. From these unsettled lives emerges a vision of life, and of the town and landscape that bind them together -- their fates somehow overcoming the powerful circumstances of place and station, their confusion, curiosity, dignity and humor intact and resonant. As the milieu widens to embrace fully four generations, Kent Haruf displays an emotional and aesthetic authority to rival the past masters of a classic American tradition. Utterly true to the rhythms and patterns of life, Plainsong is a novel to care about, believe in, and learn from.",Kent Haruf,1999,Knopf,328.0,Fiction
0099502909,The Lilac Bus,"The Journey... Every Friday night a lilac-colored minibus leaves Dublin for the Irish country town of Rathdoon with seven weekend commuters on board. All of them, from the joking bank porter to the rich doctor's daughter, have their reasons for making the journey. The Destination... Rathdoon is the kind of Irish village where family histories are shared and scandals don't stay secret for long. And this weekend, when the bus pulls in, the riders find the unexpected waiting for them... as each of their private lives unfolds to reveal a sharp betrayal of the heart, a young man's crime, and a chance for new dreams among the eight intriguing men and women on...",Maeve Binchy,1987,Arrow Books,200.0,Country life
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,"The story of two women in the 1980s, of gray headed Mrs Threadgoode telling her life story to Evelyn, who is in the sad slump of middle age.",Fannie Flagg,1988,McGraw-Hill Companies,426.0,Fiction
0515126772,Jewels of the Sun,"BOOK ONE OF THE GALLAGHERS OF ARDMORE TRILOGY In Gallagher’s Pub, where the fire is burning low and the pints are waiting, #1 New York Times bestselling author Nora Roberts has a story to tell... Determined to reevaluate her life, Jude Murray flees America to take refuge in Faerie Hill Cottage, immersing herself in the study of Irish folklore and discovering hope for the future of the magical past. Finally back home in Ireland after years of traveling, Aidan Gallagher possesses an uncommon understanding of his country’s haunting myths. Although he’s devoted to managing the family pub, a hint of wildness still glints in his eyes—and in Jude, he sees a woman who can both soothe his heart and stir his blood. And he begins to share the legends of the land with her—while they create a passionate history of their own. Don’t miss the other books in the Gallaghers of Ardmore Trilogy Tears of the Moon Heart of the Sea",Nora Roberts,1999-11-01,Penguin,388.0,Fiction
0312983484,Lead Me On,"Tired of playing the role of little sister to every man in Galveston, good girl Allison St. Claire sets out to change her life with a little romance with gorgeous writer Scott Lawrence.",Julie Ortolon,2003-01-20,Macmillan,356.0,Fiction
0842329110,Left Behind,Donated by Pam Strauss.,"Tim LaHaye, Jerry B. Jenkins",1995,,0.0,Rapture (Christian eschatology)
