ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
044023722X,A Painted House,"Racial tension, a forbidden love affair, and murder are seen through the eyes of a seven-year-old boy in a 1950s Southern cotton-farming community",John Grisham,2002,"Random House Digital, Inc.",480.0,Fiction
0553568183,Blue Moon,The moving novel of a family that discovers the everyday magic of life and the extraordinary power of love.,Luanne Rice,1994,Bantam,341.0,Fiction
082177512X,Say No to Joe?,"Irresistible to most women, notorious bad boy Joe Winston is determined to win the heart of Luna Clark, an obstinate woman who has just inherited two troubled children and who is seemingly immune to his legendary sex appeal.",Lori Foster,2003,Zebra Books,420.0,Fiction
0449134369,Heiress,"""The complexity of [the sisters'] relationship fascinates....[Dailey] moves her story ahead so purposefully and dramatically...readers will be glad they've gone along for the ride."" CHICAGO SUN-TIMES They meet at their father's funeral, two beautiful women who could almost be twins. Abbie Lawson is the gently bred daugter, raised in the lap of luxury. Rachel Farr is the love child of Dean Lawson and a fiery artist. Rachel's life has been modest and lonely--until now. For the father's death will set off a fierce competition between the sisters, and the stakes are nothing less than all that is Texas at its most magnificent--its oil fields, its Arabian horse farms, and its extraordinary men--men who will love two women who should have been the best of friends. Instead, they are locked in a battle to prove whom their father loved best by fighting to inherit his legacy....",Janet Dailey,1988,Ivy Books,484.0,Fiction
0385605145,Bill Bryson's African Diary,"Invited by CARE International, the author of ""In a Sunburned Country"" now visits Kenya and observes the many contrasts of Kenyan life, from the country's dramatic geography and famous game reserves to its postcolonial poverty and environmental problems. The author's earnings from this diary, as well as a portion of the profits, go to CARE. of color photos.",Bill Bryson,2002,Doubleday UK,78.0,Biography & Autobiography
0440235162,The Smoke Jumper,"In a searing novel of love and loyalty, guilt and honor, the acclaimed author of the #1 New York Times bestseller The Horse Whisperer gives his millions of readers another hero... The Smoke Jumper His name is Connor Ford and he falls like an angel of mercy from the sky, braving the flames to save the woman he loves but knows he cannot have. For Julia Bishop is the partner of his best friend and fellow “smoke jumper,” Ed Tully. Julia loves them both--until a fiery tragedy on Montana’s Snake Mountain forces her to choose between them, and burns a brand on all their hearts. In the wake of the fire, Connor embarks on a harrowing journey to the edge of human experience, traveling the world’s worst wars and disasters to take photographs that find him fame but never happiness. Reckless of a life he no longer wants, again and again he dares death to take him, until another fateful day on another continent, he must walk through fire once more...",Nicholas Evans,2002-07-30,Dell,578.0,Fiction
0345342968,Fahrenheit 451,"Guy Montag is a fireman, his job is to burn books, which are forbidden.",Ray Bradbury,1953,Del Rey,212.0,Fiction
3827004985,Ein Abend im Club,,Christian Gailly,2003,,140.0,
0373484895,Captive Star,"Captive Star by Nora Roberts released on Dec 25, 2000 is available now for purchase.",Nora Roberts,2000-12-25,Silhouette,0.0,Bounty hunters
0743206045,Daddy's Little Girl,A story of murder; and its effects years later on the man convicted of the crime and the woman who helped convict him.,Mary Higgins Clark,2002,,312.0,Fiction
0316601950,The Pilot's Wife,"Anita Shreve's hauntingly beautiful #1 bestseller and Oprah's Book Club selection about tragedy, grief, betrayal, and the 'impossibility of knowing another person.' As a pilot's wife, Kathryn has learned to expect both intense exhilaration and long periods alone, but nothing has prepared her for a late-night knock that lets her know her husband has died in a crash. Until now, Kathryn Lyons's life has been peaceful if unextraordinary: a satisfying job teaching high school in the New England mill town of her childhood; a picture-perfect home by the ocean; a precocious, independent-minded fifteen-year-old daughter; and a happy marriage whose occasional dull passages she attributes to the unavoidable deadening of time. As Kathryn struggles with her grief, she descends into a maelstrom of publicity stirred up by the modern hunger for the details of tragedy. Even before the plane is located in waters off the Irish coast, the relentless scrutiny of her husband's life begins to bring a bizarre personal mystery into focus. Could there be any truth to the increasingly disturbing rumors that he had a secret life?",Anita Shreve,1999-03-30,Back Bay Books,310.0,Fiction
