ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0842329129,Left Behind,Novel about the Apocalypse.,"Tim LaHaye, Jerry B. Jenkins",1995,"Tyndale House Publishers, Inc.",484.0,Fiction
0140258418,The Beach,"Richard, backpacking around the globe in the great tradition of cheap travel, finds himself bedding down in Khao San Road, Bangkok. But his chance to rest briefly is suddenly and irrevocably destroyed when a perfect stranger called Mister Duck is killed in the room next door. Mister Duck had a secret - now it's Richard's. Armed with a map - and a name of great mystery and legend that possesses a simple majesty: Beach - our protagonist goes in search of a traveller's dream, a place where there are lots of drugs and a tolerant society that works together to maintain a life of inner peace and tranquillity. Only a select few will make it to the blissful seclusion of the Beach (Mister Duck, for one, has died) but in the great tradition of travelling bravado, or sheer stupidity, Richard decides to give it a go . . .",Alex Garland,1997,,438.0,Adventure stories
0671649728,Moving Beyond Words,"""Gloria Steinem is one of the country's most influential and innovative writers and activists. In Revolution from Within, Marilyn: Norma Jean, and Outrageous Acts and Everyday Rebellions, she created a dialogue with her readers that shapes the way we think about human possibilities. In this newest six-part adventure of essays that ""begin in a personal place, and arrive at a larger point,"" she offers more revolutionary ideas, compassionate insights, and one truly over-the-top fantasy. Three of its six parts appear here for the first time. Three of them have a seed, seedling, or partly grown plant in a previously published article. As Steinem writes in the Preface, ""Each of these six parts is rather like a condensed book....Since there seems to be no genre for this, I've found myself explaining it this way: If you added water to any of these parts, it would become a book."""" ""What If Freud Were Phyllis is the ultimate send-up - with footnotes. By gender-reversing Sigmund's world and work, and drawing on new scholarship that shocks, Steinem creates a hilarious and chilling portrait of the most haunting father-figure of them all - and raises questions about what might have been haunting him, and why he is still haunting us."" ""The Strongest Woman in the World is the story of one woman whose courage in testing her own limits broke the boundaries of gender and gave Steinem insights into the politics of muscle - and into herself."" ""Sex, Lies and Advertising updates and greatly expands Steinem's famous expose of advertising's stranglehold on women's magazines and its control over much of what we see and read - with a new and urgent call to action."" ""The Masculinization of Wealth shows us the ways class works in reverse for women in families of inherited wealth, because ""the closer we are to power, the more passive we have to be kept."" It reshapes our understanding of class, and exposes the other end of the feminization of poverty."" ""Revaluing Economics demystifies budgets, from our own checkbooks to national and international accounting systems, as statements of values that render invisible most of the world's productive work, especially that done by women - and offers practical ways out."" ""Doing Sixty is a spirited, provocative, intimate essay written at the approach of Steinem's sixtieth birthday - for her ""beloved age peers"" and ""to help younger readers worry less about early successes or failures"" - as she realizes why women, herself included, become more radical with age.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",Gloria Steinem,1994,,352.0,Political Science
0380385880,Shanna,"A pact is sealed in secret behind the foreboding walls of Newgate Prison. In return for a night of unparalleled pleasure, a dashing condemned criminal consents to wed a beautiful heiress, thereby rescuing her with his name from an impending and abhorred arranged union. But in the fading echoes of hollow wedding vows, a solemn promise is broken, as a sensuous free spirit takes flight to a lush Caribbean paradise, abandoning the stranger she married to face the gallows unfulfilled. But Ruark Beauchamp's destiny is now eternally intertwined with that of the tempestuous, intoxicating Shanna. He will be free . . . and he will find her. For no iron ever forged can imprison his resolute passion. And no hangman's noose will deny Ruark the ecstasy that is rightfully his.",Kathleen E. Woodiwiss,1978-08-01,Avon,678.0,Fiction
034540288X,The Lost World,"""HARROWING THRILLS . . . FAST-PACED AND ENGAGING."" --People It is now six years since the secret disaster at Jurassic Park, six years since the extraordinary dream of science and imagination came to a crashing end--the dinosaurs destroyed, the park dismantled, the island indefinitely closed to the public. There are rumors that something has survived. . . . ""ACTION-PACKED."" --New York Daily News ""FAST AND GRIPPING."" --The Washington Post Book World ""A VERY SCARY READ."" --Entertainment Weekly ""AN EDGE-OF-THE-SEAT TALE."" --St. Petersburg Times",Michael Crichton,1995,"Random House Digital, Inc.",449.0,Fiction
0451156609,The Tommyknockers,Bobbi Anderson stumbles across a metal object that gave the people powers beyond what ordinary mortals have.,Stephen King,1988,Berkley,754.0,Fiction
0064401510,Mrs. Piggle-Wiggle's Magic,"centerMrs. Piggle-Wiggle has a trick up her sleeve centerMrs. Piggle-Wiggle loves everyone, and everyone loves her right back. The children love her because she is lots of fun. Their parents love her because she can cure children of absolutely any bad habit. The treatment are unusual, but they work! Who better than a pig, for instance, to teach a piggy little boy table manners? And what better way to cure the rainy-day ""waddle-I-do's"" than hunt for a pirate treasure in Mrs. Piggle-Wiggle's upside-down house?",Betty MacDonald,1994-06-03,Harper Collins,196.0,Juvenile Fiction
0140433627,"Frankenstein, Or, The Modern Prometheus",A monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator.,Mary Wollstonecraft Shelley,1992,,332.0,English fiction
0060005424,Lirael,"Who is Lirael? Lirael has never felt like a true daughter of the Clayr. Abandoned by her mother, ignorant of her father's identity, Lirael resembles no one else in her large extended family living in the Clayr's Glacier. She doesn't even have the Sight -- the ability to See into the present and possible futures -- that is the very birthright of the Clayr. Nonetheless, it is Lirael in whose hands the fate of the Old Kingdom lies. She must undertake a desperate mission under the growing shadow of an ancient evil -- one that opposes the Royal Family, blocks the Sight of the Clay; and threatens to break the very boundary between Life and Death itself. With only her faithful companion, the Disreputable Dog, to help her, Lirael must find the courage to seek her own hidden destiny. In this sequel to the critically acclaimed Sabriel, Garth Nix draws readers deeper into the magical landscape of the Old Kingdom and weaves a spellbinding tale of discovery, destiny, and danger.",Garth Nix,2002-04-30,HarperTeen,722.0,Fiction
0440224837,The Long Road Home,"Bestselling novelist Danielle Steel takes us on a harrowing journey into the heart of America's hidden shame in a novel that explores the power of forgiveness, the dark side of childhood, and one woman's unbreakable spirit. From her secret perch at the top of the stairs, Gabriella Harrison watches the guests arrive at her parents' lavish Manhattan townhouse. At seven, she knows she is an intruder in her parents' party, in her parents' life. But she can't resist the magic. Later, she waits for the click, click, click of her mother's high heels, the angry words, and the pain that will follow. Gabriella already knows to hide her bruises, certain she is to blame for her mother's rage--and her father's failure to protect her. Her world is a confusing blend of terror, betrayal, and pain. Her parents' aristocratic world is no safeguard against the abuse that knows no boundaries, respects no person, no economic lines. Gabriella knows that, try as she might, there is no safe place for her to hide. Even as a child, her only escape is through the stories she writes. Only writing can dull the pain of her lonely world. And when her parents' marriage collapses, Gabriella is given her first reprieve, as her father disappears, and then her mother abandons her to a convent. There, Gabriella's battered body and soul begin to mend. Amid the quiet safety and hushed rituals of the nuns, Gabriella grows into womanhood in a safe, peaceful world. Then a young priest comes into her life. Father Joe Connors never questioned his vocation until Gabriella entered the confessional and shared her soul. Confession leads to friendship. And friendship grows dangerously into love. Like Gabriella, Joe is haunted by the pain of his childhood, consumed by guilt over a family tragedy, for which he blames himself. With Gabriella, Joe takes the first steps toward healing. But their relationship leads to tragedy as Joe must choose between the priesthood and Gabriella, and life in the real world where he fears he does not belong, and cannot cope. Exiled and disgraced, and nearly destroyed, Gabriella struggles to survive on her own in New York. There she seeks healing and escape through her writing again, this time as an adult, and her life as a writer begins. But just when she thinks she is beyond hurt, Gabriella is once again betrayed by someone she trusts. Brought to the edge of despair, physically attacked beyond recognition and belief, haunted by abuse in her present and her past, she nonetheless manages to find hope again, and the courage to face the past. On a pilgrimage destined to bring her face-to-face with those who sought to destroy her in her early life, she finds forgiveness, freedom from guilt, and healing from abuse. When Gabriella faces what was done to her, and why, she herself is free at last. With profound insight, Danielle Steel has created a vivid portrait of an abused child's broken world, and the courage necessary to face it and free herself from the past. A work of daring and compassion, a tale of healing that will shock and touch and move you to your very soul, it exposes the terror of child abuse, and opens the doors on a subject that affects us all. The Long Road Home is more than riveting fiction. It is an inspiration to us all. A work of courage, hope, and love.",Danielle Steel,1999-03-02,Dell,452.0,Fiction
044021145X,The Firm,A young lawyer works undercover for the F.B.I. to reveal his firm's Mafia connection.,John Grisham,1992,Dell,514.0,Fiction
034544356X,Seduced by Moonlight,"Merry Gentry is ordered by her aunt, the Queen of Air and Darkness, to produce an heir to the throne of the Unseelie Court, but her enemies are intent on stopping her.",Laurell K. Hamilton,2004,"Random House Digital, Inc.",392.0,Fiction
0446607657,When the Wind Blows,"Frannie O'Neill is a talented Colorado veterinarian haunted by her husband's murder. But the course of her life is about to change again. After another bizarre killing, Kit Harrison, a troubled and unconventional FBI agent, arrives on her doorstep. And late one night Frannie stumbles upon a strange, astonishing phenomenon. Her name is Max. Only eleven years old, she will lead Frannie and Kit to uncover one of the most diabolical and inhuman plots of modern science.",James Patterson,1999-10-01,Vision,436.0,Fiction
0449219364,"""G"" is for Gumshoe","The divorced ex-cop, Kinsey Millhone, turns 33, is hired to bring a mother back from the desert, and makes a top slot on Tyrone Patty's hit list, all on the same day.",Sue Grafton,1991,Fawcett,364.0,Fiction
0140043128,One Flew Over the Cuckoo's Nest,"Ken Kesey's bracing, inslightful novel about the meaning of madness and the value of self-reliance, and the inspiration for the new Netflix original series Ratched A mordant, wickedly subversive parable set in a mental ward, One Flew Over the Cuckoo's Nest chronicles the head-on collision between its hell-raising, life-affirming hero Randle Patrick McMurphy and the totalitarian rule of Big Nurse. McMurphy swaggers into the mental ward like a blast of fresh air and turns the place upside down, starting a gambling operation, smuggling in wine and women, and egging on the other patients to join him in open rebellion. But McMurphy's revolution against Big Nurse and everything she stands for quickly turns from sport to a fierce power struggle with shattering results. With One Flew Over the Cuckoo's Nest, Kesey created a work without precedent in American literature, a novel at once comic and tragic that probes the nature of madness and sanity, authority and vitality. Greeted by unanimous acclaim when it was first published, the book has become and enduring favorite of readers.",Ken Kesey,1977-08-25,Penguin,322.0,Fiction
0312971745,"Naughty, Naughty","Mischievous plans, sinful seductions, and all-around bad behavior-what could be more fun? Read these four unforgettable stories by some of today's sexiest authors, and find out how nice it can be to be naughty! Susan Johnson brings you to the decadent Regency period, where four bored debutantes concoct a most delightfully wicked contest: to seduce the so-called reformed profligate, Simon Mar, Marquis of Narne... Adrianne Lee gives a 25-year-old virgin a new leas one life. When Carroll Sydney learns she has lots of lost time to make up for, she tries to tempt the baddest boy in Missoula, Montana-too bad he's made a promise to be ""good""... Leandra Logan spins a scintillating contemporary tale of desire and betrayal: as her marriage to a shady Hollywood movie producer dissolves, Andrea Doanes uses a sexy stranger to turn the tables in a most delicious way... Anne Marie Winston sends a loveless cookbook author and a seductive rogue to spend a few days together in a rustic cabin in Maine-and to discover that passion can simmer under the most unlikely circumstances... Most of the good things in life are...Naughty, Naughty.","Susan Johnson, Adrianne Lee, Leandra Logan, Anne Marie Winston",1999-10-15,Macmillan,308.0,Fiction
0397306938,A Little Princess,"Sara Crewe seemed just like a real princess... When Sara Crewe arrives at Miss Minchin's London boarding school, she seems just like a real little princess. She wears beautiful clothes, has gracious manners, and tells the most wonderful stories. Then one day, Sara suddenly becomes penniless. Now she must wear rags, sleep in the school's dreary attic, and work for her living. Sara is all alone, but keeps telling herself that she can still be a princess inside, if only she tries hard enough.",Frances Hodgson Burnett,1963-01-01,HarperCollins,336.0,Juvenile Fiction
043935806X,Harry Potter and the Order of the Phoenix,"Collects the complete series that relates the adventures of young Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry, where he and others of his kind learn their craft.",J. K. Rowling,,,1232.0,Bildungsromans
0446607053,Day of Wrath,"Prince Ibrahim al Saud is a member of the Saudi royal family and a brilliant international businessman with a personal fortune worth billions of dollars. He is also the world's most dangerous terrorist, having purchased nuclear weapons from Russia's corrupt military. Only two people stand in his way: U.S. Army Colonel Peter Thorn and FBI Special Agent Helen Gray. Following a trail that leads from the former Soviet Union, across Europe, and finally to America, the two find themselves hunted by the very people they're trying to protect...and time is running out.",Larry Bond,1999-09-01,Vision,532.0,Fiction
