ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0451195167,Amistad,Based on the screenplay by David Franzoni and Steven Zallian The official movie tie-in to the Steven Spielberg film of the same name. Illustrated with 8 pages of colour photos from the film.,Alexs D. Pate,1997,DreamWorks,328.0,Fiction
0786914041,The Spine of the World,"The Road to Redemption Even the brutal streets of a treacherous city can't hide a tortured soul forever. The barbarian Wulfgar sets upon a dangerous path toward redemption when and old friend finds him in the city of Luskan. Wulfgar's journey twists up the windswept peaks of the Spine of the World. He will persevere, for at the end lies his most prized possession -- the life he thought he'd lost forever. Contains 16 pages of roleplaying game rules base on The Spine of the World.",R. A. Salvatore,2000,,381.0,Fiction
0061099341,As the Crow Flies,"Charlie Trumpers dreams of running his grandfathers East London fruit and vegetable barrow are realized when his grandfather dies, but the onset of War World I takes him into the path of a dangerous enemy whose legacy of evil follows Charlie and his family for generations.",Jeffrey Archer,1991,HarperTorch,804.0,Fiction
0446608955,A Walk to Remember,"A high school rebel and a minister's daughter find strength in each other in this star-crossed tale of ""young but everlasting love"" (Chicago Sun-Times). There was a time when the world was sweeter....when the women in Beaufort, North Carolina, wore dresses, and the men donned hats.... Every April, when the wind smells of both the sea and lilacs, Landon Carter remembers 1958, his last year at Beaufort High. Landon had dated a girl or two, and even once sworn that he'd been in love. Certainly the last person he thought he'd fall for was Jamie, the shy, almost ethereal daughter of the town's Baptist minister....Jamie, who was destined to show him the depths of the human heart-and the joy and pain of living. The inspiration for this novel came from Nicholas Sparks's sister: her life and her courage. From the internationally bestselling author Nicholas Sparks, comes his most moving story yet....",Nicholas Sparks,2000-09-01,Grand Central Publishing,260.0,Fiction
0312978332,Name Dropping,"Pre-school teacher Nancy Stern is in a personal and professional rut. But what really puts a dent in her self-esteem is the realization that another woman named Nancy Stern has just moved into her building... a Nancy Stern who lives in the penthouse... A Nancy Stern who interviews celebrities for glossy magazines... a Nancy Stern who's chummy with Kevin Costner. Nancy's loss of her own specialness deepens as she keeps getting the other, more glamorous Nancy's mail, phone calls and party invitations by mistake. It's all too much to bear--until a man calls one night, intending to ask the other Nancy out on a blind date. What follows is a raucous and romantic involving mix-ups, mistaken identity, and murder ...","Jane Heller, Rachael F. Heller",2001-03-15,Macmillan,356.0,Fiction
1551666146,Glamour Puss,"One fateful night, Mac McGowan and Stella Hampton let an accident escalate into a crime they covered up. Now, 20 years later, the past is back to haunt them when someone threatens to expose what they did. Who could possibly know the truth--and what is the price for their silence?",R. J. Kaiser,2001,MIRA,452.0,Fiction
0440539811,The Illuminatus! Trilogy,Filled with sex and violence--in and out of time and space--the three books of The Illuminatus are only partly works of the imagination. They tackle all the coverups of our time--from who really shot the Kennedys to why there's a pyramid on a one-dollar bill.,Robert Shea,1983-12-01,Dell,811.0,Fiction
0345365208,Spy Hook,"What Bernard Sampson, protagonist of BERLIN GAME, MEXICO SET, and LONDON MATCH, is about to know may hurt him. When word gets to London Central that a cache of millions of pounds has disappeared inside the Service, Samson is determined to learn the truth. But not even that discovery will help if the Department itself wants his blood....",Len Deighton,1990,,356.0,Fiction
042513525X,Hideaway,"He was clinically dead after the accident - but was miraculously revived. Now Hatch Harrison and his wife approach each day with a new appreciation for life. But something has come back with Hatch from the other side. A terrible presence that links his mind to a psychotic's, so that a force of murderous rage courses through him.",Dean Koontz,1992,Berkley Books,420.0,Fiction
0440223989,Sunset Limited,"“One of the best novels of the year from one of the very best writers at work today.”—Rocky Mountain News The townspeople of New Iberia, Louisiana, didn’t crucify Megan Flynn’s father. They just didn’t catch whoever pinned him to a barn wall with sixteen-penny nails. Decades later, Megan, now a world-famous photojournalist, has come back to the bayou, looking for cop Dave Robicheaux. It was Dave who found the body of labor leader Jack Flynn. The sight changed the boy, shaped him as a man. And after forty years, Robicheaux is still haunted by the bizarre unsolved slaying. Now Megan’s return has stirred up the ghosts of the long-buried past, igniting a storm of violence that will rip apart lives of blacks and whites in this bayou country. And for a good cop with bad memories, hard desire, and chilling nightmares, the time has come to uncover the truth.",James Lee Burke,1999-07-06,Island Books,418.0,Fiction
002542730X,Politically Correct Bedtime Stories,Retells classic stories and fairy tales that relate to today's society.,James Finn Garner,1994,MacMillan Publishing Company,106.0,Fiction
0449223612,N Is for Noose,Female detective Kinsey Millhone becomes involved in the case of a double murder in Carson City and a detective who dies trying to investigate it,Sue Grafton,1998,Fawcett,338.0,Fiction
0312243359,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,In 1994 the Rwandan government implemented a policy for the Hutu majority to murder everyone in the Tutsi majority.,Philip Gourevitch,1998,Macmillan,370.0,Biography & Autobiography
0553089196,Bad Love,"It came in a plain brown wrapper, no return address - an audiocassette recording of a horrifying, soul-lacerating scream, followed by the sound of a childlike voice delivering the enigmatic and haunting message: . ""Bad love. Bad love. Don't give me the bad love.."". For Alex Delaware, the chant, repeated over and over like a twisted nursery rhyme, is the first intimation that he is about to enter a living nightmare. Others soon follow: disquieting laughter echoing over a phone line that suddenly goes dead, a chilling trespass outside his home in the middle of the night, a sickening act of vandalism. He has becoine the target of a carefully orchestrated campaign of vague threats and intimidation rapidly building to a crescendo as harassment turns to terror, mischief to madness. Searching his memory for the phrase ""bad love"", Alex recalls a symposium he attended over a decade ago commemorating the work of Dr. Andres de Bosch, the celebrated child psychologist who ran a clinic for troubled adolescents. With the help of his friend LAPD detective Milo Sturgis, Alex discovers a seemingly random series of violent deaths - a hit-and-run, a ""suicidal"" leap from a high rise, and a brutal mutilation-murder - that may somehow be related to de Bosch. As he delves deeper into the history of the clinic, the escalating pattern of violence becomes inescapably clear. And if Alex fails to decipher the twisted logic of the stalker's mind games, he will be the next to die. Taut, penetrating, terrifying, Bad Love is vintage Kellerman.",Jonathan Kellerman,1994,Bantam Books,412.0,Fiction
0671742949,Under Siege,"Captain Jake Grafton faces the duel threats of a determined assassin and a vicious drug lord, both intent on plunging the U.S. into chaos.",Stephen Coonts,1991,Simon and Schuster,548.0,Fiction
0688046606,Night Over Water,"KEN FOLLETT'S INTERNATIONAL BESTSELLER- September 1939. England is at war with Nazi Germany. In Southampton, the world's most luxurious airliner-the legendary Pan Am clipper-takes off for its final flight to neutral America. Aboard are the cream of society and the dregs of humanity, all fleeing the war for reasons of their own...shadowed by a danger they do not know exists...and heading straight into a storm of violence, intrigue, and betrayal...",Ken Follett,1991,William Morrow,420.0,Fiction
0671025570,Duane's Depressed,The final volume in the trilogy following The Last Picture Show and Texasville tells the story of Duane's end-of-life crisis.,Larry McMurtry,1999,Pocket Books,532.0,Family & Relationships
0553576607,,,,,,,
0345448820,The Nine Emotional Lives of Cats,"The author draws on observations of his own five cats to illuminate the ways in which cats reveal their emotions, and examines the evolution of the cat from solitary jungle predator to human companion.",Jeffrey Moussaieff Masson,2002,"Random House Digital, Inc.",296.0,Nature
0385479565,The Hot Zone,"The virus kills nine out of ten of its victims. Its effects are so quick and so gruesome that even biohazard experts are terrified. It is airborne, it is extremely contagious, and it is about to burn through the suburbs of Washington, D.C. Is there any way to stop it? This doomsday scenario confronted a biohazard SWAT team struggling in secret to stop the outbreak of an exotic ""hot"" virus at an Army research facility outside Washington. ""The Hot Zone"" tells the dramatic story of their dangerous race against time, along with an alarming account of how previously unknown viruses that have lived undetected in the rain forest for eons are now entering human populations. From the airlocked confines of a biosafety level 4 military lab, to an airliner over Kenya carrying a passenger dissolving into a human virus bomb, to a deserted jungle cave alive with deadly virus, THE HOT ZONE is a non-fiction thriller like no other. ""The Andromeda Strain"" was fiction--- ""this is real!""",Richard Preston,1995,Anchor,450.0,Health & Fitness
0345378490,Congo,"The legendary ruins of the Lost City of Zinj have seen an eight-person field exhibition die. After startling discoveries, a new expedition is sent back into the Congo--its mission, to descend into the secret world where the only way back out may be through the grisliest death....",Michael Crichton,1993,교보문고,340.0,Fiction
0743237188,Fall On Your Knees,"The Piper family is steeped in secrets, lies, and unspoken truths. At the eye of the storm is one secret that threatens to shake their lives -- even destroy them. Set on stormy Cape Breton Island off Nova Scotia, Fall on Your Knees is an internationally acclaimed multigenerational saga that chronicles the lives of four unforgettable sisters. Theirs is a world filled with driving ambition, inescapable family bonds, and forbidden love. Compellingly written, by turns menacingly dark and hilariously funny, this is an epic tale of five generations of sin, guilt, and redemption.",Ann-Marie MacDonald,2002-01-24,Scribner,512.0,Fiction
0312244266,Winter Solstice,"In Winter Solstice Rosamunde Pilcher brings her readers into the lives of five very different people.... Elfrida Phipps, once of London's stage, moved to the English village of Dibton in hopes of making a new life for herself. Gradually she settled into the comfortable familiarity of village life -- shopkeepers knowing her tastes, neighbors calling her by name -- still she finds herself lonely. Oscar Blundell gave up his life as a musician in order to marry Gloria. They have a beautiful daughter, Francesca, and it is only because of their little girl that Oscar views his sacrificed career as worthwhile. Carrie returns from Australia at the end of an ill-fated affair with a married man to find her mother and aunt sharing a home and squabbling endlessly. With Christmas approaching, Carrie agrees to look after her aunt's awkward and quiet teenage daughter, Lucy, so that her mother might enjoy a romantic fling in America. Sam Howard is trying to pull his life back together after his wife has left him for another. He is without home and without roots, all he has is his job. Business takes him to northern Scotland, where he falls in love with the lush, craggy landscape and set his sights on a house. It is the strange rippling effects of a tragedy that will bring these five characters together in a large, neglected estate house near the Scottish fishing town of Creagan. It is in this house, on the shortest day of the year, that the lives of five people will come together and be forever changed. Rosamunde Pilcher's long-awaited return to the page will warm the hearts of readers both old and new. Winter Solstice is a novel of love, loyalty and rebirth.",Rosamunde Pilcher,2000-08-01,Thomas Dunne Books,470.0,Fiction
1551662841,Denim and Diamonds,"Chase Brown offered Letty Ellison love and a life with him on his ranch. Instead Letty chose to follow her dreams to Hollywood. Nine years later, Letty returns with her young daughter. In all this time, there has never been another woman for Chase, yet the bitter memories of Letty's leaving still haunt him. But when a secret from Letty's past confronts them, they must learn that there are some things more important than pride. And some things more enduring than promises. Copyright © Libri GmbH. All rights reserved.",Debbie Macomber,1997,MIRA,0.0,Ranchers
0312171838,Bachelor Brothers' Bed & Breakfast,"Middle age twins, Hector and Virgil, operate a bed & breakfast establishment located in Canada. They inspire guests and people of the community with their intellectual humor and books.",Bill Richardson,1997-08-15,Macmillan,164.0,Fiction
0689714335,The Cat who Went to Heaven,"Grade Level 5.8, Book # 17, Points 1.",Elizabeth Coatsworth,1990,Simon & Schuster/Paula Wiseman Books,84.0,Juvenile Fiction
0449911519,The Secret History,"""Powerful...Enthrallling...A ferociously well-paced entertainment."" THE NEW YORK TIMES Richard Papen arrived at Hampden College in New England and was quickly seduced by an elite group of five students, all Greek scholars, all worldly, self-assured, and, at first glance, all highly unapproachable. As Richard is drawn into their inner circle, he learns a terrifying secret that binds them to one another...a secret about an incident in the woods in the dead of night where an ancient rite was brought to brutal life...and led to a gruesome death. And that was just the beginning.... ""A smart, craftsman-like, viscerally compelling novel."" TIME Selected by the Book-of-the-Month Club A NEW YORK TIMES NOTABLE BOOK ""From the Paperback edition.",Donna Tartt,1996,Fawcett,0.0,Classicists
0451526384,Persuasion,"The romance between Captain Wentworth and Anne, the daughter of Sir Walter Elliot, seems doomed because of the young man's family connections and lack of wealth",Jane Austen,1996,Signet Classics,285.0,Fiction
0679728899,Death Comes for the Archbishop,"The story of a Friench priest who goes to New Mexico and with another priest win the Southwest for the Catholic Church. After forty years, he dies--the archbishop of Santa Fe.",Willa Cather,1929,New York : A. A. Knopf,368.0,American fiction
0440206154,,,,,,,
0743471393,Evil Unveiled,"As Fount Royal magistrate Isaac Woodward sentences the accused witch, Rachel Howarth, to death by burning, young clerk Matthew begins his own investigation to exonerate the innocent woman.",Robert R. McCammon,2003,,0.0,Clerks of court
0802135226,The Passion,"Winner of the 1987 John Llewellyn Rhys Prize, this novel explores the many faces of passion. Set in Napoleon's Europe, it is an evocative exploration of love, war and chance.",Jeanette Winterson,1997,,178.0,Fiction
0684196395,One for the Money,"When Stephanie Plum lands a job as a bounty hunter, her first assignment is to nail a former vice cop who's also her ex-'lover.",Janet Evanovich,1994-08-26,Scribner Book Company,312.0,Fiction
0440158532,Mother Night,"Originally published: New York: Delacorte Press, c1961.",Kurt Vonnegut,1966,Dell,226.0,Fiction
0140048332,The Far Pavilions,"A magnificent romantic/historical/adventure novel set in India at the time of mutiny. The Far Pavilions is a story of 19th Century India, when the thin patina of English rule held down dangerously turbulent undercurrents. It is a story about and English man - Ashton Pelham-Martyn - brought up as a Hindu and his passionate, but dangerous love for an Indian princess. It's a story of divided loyalties, of tender camaraderie, of greedy imperialism and of the clash between east and west. To the burning plains and snow-capped mountains of this great, humming continent, M.M. Kaye brings her quite exceptional gift of immediacy and meticulous historical accuracy, plus her insight into the human heart.","Mary Margaret Kaye, M M Kaye",1979,Penguin UK,1406.0,Fiction
