ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0345375351,Show of Evil,"Lawyer Martin Vail confronts a legal nightmare that he helped create when a chain of serial murders resurrects the demonic Aaron Stampler, the psychotic killer whom Vail had rescued from the electric chair",William Diehl,1995,,483.0,Fiction
055321246X,Walden and Other Writings,"With their call for ""simplicity, simplicity, simplicity!”, for self-honesty, and for harmony with nature, the writings of Henry David Thoreau are perhaps the most influential philosophical works in all American literature. The selections in this volume represent Thoreau at his best. Included in their entirety are Walden, his indisputable masterpiece, and his two great arguments for nonconformity, Civil Disobedience and Life Without Principle. A lifetime of brilliant observation of nature--and of himself--is recorded in selections from A Week On The Concord And Merrimack Rivers, Cape Cod, The Maine Woods and The Journal.",Henry David Thoreau,1983-09-01,Bantam Classics,466.0,Fiction
0553284789,"""F"" is for Fugitive","When Kinsey Millhone first arrives in Floral Beach, California, it's hard for her to picture the idyllic coastal town as the setting of a brutal murder. Seventeen years ago, the body of Jean Timberlake--a troubled teen who had a reputation with the boys--was found on the beach. Her boyfriend Bailey Fowler was convicted of her murder and imprisoned, but he escaped. After all this time, Bailey's finally been captured. Believing in his son's innocence, Bailey's father wants Kinsey to find Jean's real killer. But most of the residents in this tight-knit community are convinced Bailey strangled Jean. So why are they so reluctant to answer Kinsey's questions? If there's one thing Kinsey's got plenty of it's persistence. And that's exactly what it's going to take to crack the lid on this case. As Kinsey gets closer to solving Jean's murder, the more dirty little secrets she uncovers in a town where everyone has something to hide--and a killer will kill again to keep the past buried...",Sue Grafton,1990,Crimeline,356.0,Fiction
0671523074,Eye of the Beholder,"Two people find love as they search for a killer among the New Age crowd in a town in Arizona. They are Alexa Chambers, an art designer, and J.L. Trask, a hotel tycoon whose father was murdered. Suspense, sex and religion.",Jayne Ann Krentz,2003-07-29,,406.0,Fiction
0812580346,Flashforward,Science fiction.,Robert J. Sawyer,2000-04-15,Macmillan,324.0,Fiction
0553564528,Guilty as Sin,"A man is arrested for kidnapping a Minnesota boy, and attorney Ellen North believes she is building a case against the guilty party until a second child is kidnapped.",Tami Hoag,1997,Bantam,626.0,Fiction
0440211476,And One Wore Gray,"In this sensual Civil War romance from Heather Graham, the scars of battle are healed by a searing desire that crosses enemy lines. Callie Michaelson knows all too well the costs of war. Her husband gave his life on the battlefield, fighting for the North. Now Callie’s only defense is to hunker down and hope the war blazes right on past her Maryland farm. But when a dashing Confederate soldier falls on her land, Callie is inexplicably roused to help this desperate, surprisingly vulnerable, and heartbreakingly desirable man. After suffering the sting of defeat, Colonel Daniel Cameron wants nothing more than to heal his wounds and rejoin his retreating cavalry unit. But the look in the silver-gray eyes of the stunningly beautiful Yankee widow tells him to stay—at least for one night of passion. In Callie’s bed, Daniel forgets all about the horrors he has seen. He also forgets that he is too deep in Union territory to trust any woman. And soon enough Daniel discovers that wounds of the flesh are nothing compared to wounds of the heart.",Heather Graham,1992-03-02,Dell,562.0,Fiction
0446612545,The Beach House,"Jack Mullen is a driven student of the law. His brother Peter is a servant of the rich, parking the cars of the Hamptons' elite-and perhaps satisfying their more intimate needs as well. Then Peter's body is found on the beach. Jack knows the drowning was no accident, but someone's unlimited power and money have bought the cops, the judges, the system. Now Jack is learning a lesson in justice he never got in law school ... and his astonishing plan to beat the billionaires will have you reeling-and cheering-to the very last page.","James Patterson, Peter de Jonge",2003-05-01,Grand Central Publishing,384.0,Fiction
0671525425,Heaven,"Follows the experiences of Heaven, one of the very poor Casteel children who are sold to different families by their father. Copyright © Libri GmbH. All rights reserved.",Virginia C. Andrews,1985,"New York : Pocket Books ; Markham, Ont. : Distributed in Canada by PaperJacks",452.0,Fiction
0679449434,Joy School,"In this superb novel by the bestselling author of ""The Pull of the Moon"" and ""Talk Before Sleep"", a young woman's experience with the intensity and pain of first love leads her to understand that sorrow can be a school for learning joy.",Elizabeth Berg,1997,Random House (NY),232.0,Fiction
015602943X,The Time Traveler's Wife,A Magical love story that is as sad as it is joyous.,Audrey Niffenegger,2004,Houghton Mifflin Harcourt,564.0,Fiction
0515122416,Once Upon a Castle,"#1 New York Times bestselling author Nora Roberts presents four enchanting tales of castles, spells, and happily-ever-afters... In Nora Roberts's ""Spellbound,"" a bewitchingly beautiful lady casts a thousand-year love spell on the man of her dreams—and unleashes a nightmare that only true love can conquer. In Jill Gregory's ""Castle Doom,"" a Gypsy's prophecy spells love when an unlikely pair join to fight the ultimate evil—and find themselves in their own battle of hearts. In Ruth Ryan Langan's ""Falcon's Lair,"" a young American travels to England to free her father's friend from a fatal curse—and discovers a helping hand from a charming, handsome spirit. In Marianne Willman's ""Dragonspell,"" a brave young princess sets out to save her kingdom with the help of a meddling sorceress—and wins the heart of a dashing warrior along the way.","Nora Roberts, Jill Gregory, Ruth Ryan Langan, Marianne Willman",1998-03-01,Penguin,385.0,Fiction
0874778883,Seven Years in Tibet,An account of an Austrian mountain climber's escape from a British internment camp in India during World War II and his twenty-one-month journey through the Himalayas to safety in the Forbidden City of Lhasa in Tibet.,Heinrich Harrer,1997,Tarcher,362.0,Biography & Autobiography
082176828X,What You Wish for,"Fleeing the abusive wealthy husband who tried to kill her, Helen Ward changes her identity and moves across the country to build a new life for herself, but her past may come back to haunt her as it threatens her relationship with Sam Tolliver.",Fern Michaels,2001,Zebra Books,356.0,Fiction
0156421178,Homage to Catalonia,Contains primary source material.,George Orwell,1952,Houghton Mifflin Harcourt,264.0,Biography & Autobiography
0971880107,Wild Animus,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.",Rich Shapero,2004,Too Far Books,328.0,Fiction
0451177096,Dolores Claiborne,"“Among King’s best.”—San Francisco Chronicle When housekeeper Dolores Claiborne is questioned in the death of her wealthy employer, a long-hidden secret from her past is revealed-—as is the strength of her own will to survive...",Stephen King,1993,Berkley,388.0,Fiction
0451176464,Gerald's Game,Jessie was handcuffed to the bedpost when her husband died of a heart attack durning a sex game.,Stephen King,1993,Signet Book,452.0,Fiction
0671726889,The Cuckoo's Egg,"The account of Stoll stalking a methodical ""hacker"" who was prowling the nation's computer networks to gain unauthorized access to American files.",Clifford Stoll,1990,,370.0,Computers
038079487X,What Looks Like Crazy On an Ordinary Day,Oprah's Book Club.,Pearl Cleage,1998-11,Harper Collins,258.0,Fiction
0373825013,Whirlwind,"Whirlwind by Nancy Martin released on Jan 25, 1992 is available now for purchase.",Nancy Martin,1992,Harlequin,308.0,Fiction
030711886X,"Merry Christmas, Mom and Dad (Little Critter)","Help Mercer Mayer's Little Critter get ready for the holidays in this classic, funny and heartwarming book. The perfect gift for Christmas! Whether he's making wreaths, eating gingerbread cookies, or putting the star on the top of the tree, parents and children alike will relate to this beloved story starring Little Critter.",Mercer Mayer,1999-09-10,Random House Books for Young Readers,28.0,Juvenile Fiction
0380704420,Wait Till Helen Comes,"Beware of Helen... Heather is such a whiny little brat. Always getting Michael and me into trouble. But since our mother married her father, we're stuck with her...our ""poor stepsister"" who lost her real mother in a mysterious fire. But now something terrible has happened. Heather has found a new friend, out in the graveyard behind our home -- a girl named Helen who died with her family in a mysterious fire over a hundred years ago. Now her ghost returns to lure children into the pond...to drown! I don't want to believe in ghosts, but I've followed Heather into the graveyard and watch her talk to Helen. And I'm terrified. Not for myself, but for Heather...",Mary Downing Hahn,1987-11-02,Harper Collins,196.0,Juvenile Fiction
0439064872,,,,,,,
0679745203,The English Patient,"BOOKER PRIZE WINNER • NATIONAL BESTSELLER • The bestselling author of Warlight traces the intersection of four damaged lives in an abandoned Italian villa at the end of World War II. “A rare spellbinding web of dreams.” —Time The nurse Hana, exhausted by death, obsessively tends to her last surviving patient. Caravaggio, the thief, tries to reimagine who he is, now that his hands are hopelessly maimed. The Indian sapper Kip searches for hidden bombs in a landscape where nothing is safe but himself. And at the center of his labyrinth lies the English patient, nameless and hideously burned, a man who is both a riddle and a provocation to his companions—and whose memories of suffering, rescue, and betrayal illuminate this book like flashes of heat lightning.",Michael Ondaatje,1993-11-30,Vintage,326.0,Fiction
0446606189,Cat & Mouse,"In this New York Times bestseller, two killers-one operating in America, one in Europe-believe Alex Cross is the only worthy opponent in the deadly game each has planned. Gary Soneji, a dying prison escapee, is looking for revenge on Cross, while another insane killer is pursued by Thomas Augustine Pierce-a brilliant and relentless detective who may even be better than Cross. As the bodies pile up, and Cross is nearly murdered in his own home, the game of cat and mouse leads to one final trap. . . The body count is high, the tension the highest, and the two killers on the loose are watching every move their pursuers make. Who is the cat, and who is the mouse? What and where is the final trap? And who survives?",James Patterson,1998-11-01,Vision,486.0,Fiction
0671042858,The Girl Who Loved Tom Gordon,"The acclaimed #1 New York Times and undisputed King of Horror Stephen King offers a frightening suspense novel about a young girl who becomes lost in the woods as night falls. On a six-mile hike on the Maine-New Hampshire branch of the Appalachian Trail, nine-year-old Trisha McFarland quickly tires of the constant bickering between her older brother, Pete, and her recently divorced mother. But when she wanders off by herself, and then tries to catch up by attempting a shortcut, she becomes lost in a wilderness maze full of peril and terror. As night falls, Trisha has only her ingenuity as a defense against the elements, and only her courage and faith to withstand her mounting fears. For solace she tunes her Walkman to broadcasts of Boston Red Sox baseball games and follows the gritty performances of her hero, relief pitcher Tom Gordon. And when her radio’s reception begins to fade, Trisha imagines that Tom Gordon is with her—protecting her from an all-too-real enemy who has left a trail of slaughtered animals and mangled trees in the dense, dark woods…",Stephen King,1999,Pocket Books,276.0,Fiction
0312953453,Blood Oath,Houston must solve the murder of his wife and discover why his father's military grave in France has mysteriously disappeared.,David Morrell,1994-10-15,Macmillan,308.0,Fiction
0452284481,Le Divorce,"Pregnant and abandoned, Roxeanne Walker de Persand has her rough-edged sister, Isabel, come to Paris to help her through this period where the powerful Persand family is pushing for a divorce and control of a valuable Walker family heirloom.",Diane Johnson,2003,Plume Books,309.0,Fiction
0440211263,Circle of Friends,"“[An] irresistible invitation to share the lives of people who believe in enduring values.”—Detroit Free Press It began with Benny Hogan and Eve Malone, growing up, inseparable, in the village of Knockglen. Benny—the only child, yearning to break free from her adoring parents. . . . Eve—the orphaned offspring of a convent handyman and a rebellious blueblood, abandoned by her mother's wealthy family to be raised by nuns. Eve and Benny—they knew the sins and secrets behind every villager's lace curtains . . . except their own. It widened at Dublin, at the university where Benny and Eve met beautiful Nan Mahlon and Jack Foley, a doctor's handsome son. But heartbreak and betrayal would bring the worlds of Knockglen and Dublin into explosive collision. Long-hidden lies would emerge to test the meaning of love and the strength of ties held within the fragile gold bands of a. . . Circle Of Friends. Praise for Circle of Friends “A rare pleasure . . . at terrific tale, told by a master storyteller.”—Susan Isaacs, The New York Times Book Review “Circle of Friends welcomes you in.”—The Washington Post",Maeve Binchy,1991-10-01,Dell,612.0,Fiction
0385484518,Tuesdays with Morrie,"An old man, a young man, and life's greatest lesson.",Mitch Albom,1997-08-18,Doubleday,216.0,Biography & Autobiography
0385335881,Shopaholic Takes Manhattan,"From the #1 New York Times bestselling author of The Party Crasher and Love Your Life . . . “[Sophie] Kinsella’s Bloomwood is plucky and funny. . . . You won’t have to shop around to find a more winning protagonist.”—People With her shopping excesses (somewhat) in check and her career as a TV financial guru thriving, Becky Bloomwood’s biggest problem seems to be tearing her entrepreneur boyfriend, Luke, away from work for a romantic country weekend. That is, until Luke announces he’s moving to New York for business—and he asks Becky to go with him! Before you can say “Prada sample sale,” Becky has landed in the Big Apple, home of Park Avenue penthouses and luxury department stores. Surely it’s only a matter of time until Becky becomes an American celebrity. She and Luke will be the toast of Gotham society. Nothing can stand in their way, especially with Becky’s bills an ocean away in London. But then an unexpected disaster threatens her career prospects, her relationship with Luke, and her available credit line. Becky may have taken Manhattan—but will she have to return it? Praise for Sophie Kinsella and Shopaholic Takes Manhattan “A laugh-a-minute read.”—Glamour (U.K.) “Faster than a swiping Visa, more powerful than a two-for-one coupon, able to buy complete wardrobes in a single sprint through the mall—it’s Shopaholic!”—The Washington Post “Kinsella has a genuine gift for comic writing.”—The Boston Globe",Sophie Kinsella,2002-01-29,Dial Press Trade Paperback,338.0,Fiction
0804114986,The Bonesetter's Daughter,"“The Bonesetter’s Daughter dramatically chronicles the tortured, devoted relationship between LuLing Young and her daughter Ruth. . . . A strong novel, filled with idiosyncratic, sympathetic characters, haunting images, historical complexity, significant contemporary themes, and suspenseful mystery.” –Los Angeles Times “TAN AT HER BEST . . . Rich and hauntingly forlorn . . . The writing is so exacting and unique in its detail.” –San Francisco Chronicle “For Tan, the true keeper of memory is language, and so the novel is layered with stories that have been written down–by mothers for their daughters, passing along secrets that cannot be said out loud but must not be forgotten.” –The New York Times Book Review “AMY TAN [HAS] DONE IT AGAIN. . . . The Bonesetter’s Daughter tells a compelling tale of family relationships; it layers and stirs themes of secrets, ambiguous meanings, cultural complexity and self-identity; and it resonates with metaphor and symbol.” –The Denver Post",Amy Tan,2002-01-29,Ballantine Books,420.0,Fiction
1551664305,High Stakes,"It didn't take Angelina Marlowe long to realize that her legacy was a terrible liability. Her parents had been ruthlessly murdered, and inheriting their fortune put her at risk, too. She needed to know why. So did Hawk Bladehunter, a key player at Marlowe Inc. Together they were determined to expose the past, but neither had gambled on how far some people would go to protect their investment--nor how blissful ignorance would seem as the stakes in a deadly game of truth or dare kept rising.",Rebecca Brandewyne,1999,MIRA,418.0,Fiction
0440216850,Final Argument,"A riveting tale of justice at all costs, by the bestselling author of Trial. A prestigious lawyer's lush life suddenly becomes a nightmare when he learns that his conviction in a case 12 years earlier has put the wrong man on death row.",Clifford Irving,1994,Island Books,424.0,Fiction
0553260111,The Bourne Identity,A man has been shot and now has no memory and as he searches for his origins he comes to fear he may have been an international assassin.,Robert Ludlum,1981,Bantam,546.0,Fiction
0345420438,The Tailor of Panama,"In a novel about global politics and the fate of truth in modern times, Harry Pendel, a tailor in Panama City who can claim politicians, presidents, crooks, and conmen among his customers, becomes an unlikely spy for British intelligence",John Le Carré,1996,"Random House Digital, Inc.",418.0,Fiction
042517400X,,,,,,,
0553294903,Divine Evil,"In this gripping novel of small-town scandal and sizzling passion, New York Times bestselling author Nora Roberts tells the story of a renowned artist who confronts a mystery from her past—and finds that her family secrets have not been laid to rest. “[Roberts] can make romance seem fresh and hopeful every time.”—Time Famed sculptor Clare Kimball has commanded the attention of the New York art world, but troubling memories from childhood have drawn her home to Maryland, to the town where she grew up and where her father died so long ago in circumstances never really explained. Nothing much has changed in Emmitsboro—except Cameron Rafferty, the onetime high school bad boy turned town sheriff. The only hint of Cam’s wild nature is the light in his eyes when he looks at Clare. In Cam’s strong arms Clare is seduced into falling in love—and believing that her small-town world is safe. But within the dark woods of Emmitsboro, something evil is spreading its poisonous power. Now Clare must pay the price for digging up the secrets of the past . . . and confront an evil that may be unstoppable—because those who practice it believe it is divine.",Nora Roberts,1992-09-01,Bantam,577.0,Fiction
0743457935,Late Bloomer,"Buried secrets and past betrayals, old friendships and new beginnings are at the heart of this rich, compelling bestseller from Fern Michaels, one of today's most popular novelists. Twenty years after a childhood accident left a permanent shadow over her life, Cady Jordan has returned to her Pennsylvania hometown. Her beloved grandmother Lola, a retired movie star, needs Cady's care -- but soon after arriving at Lola's lavish estate, it's clear that the colorful actress will be Cady's mentor to living life to the fullest. Cady wants nothing more than to come out of her shell, but to do so means resurrecting her lost memories of the day when a foolish stunt ended with a young bully's death and Cady's serious injury -- a tragedy for which her friends held Cady responsible. They're adults now -- a lawyer, a businessman, a stay-at-home mom. And a police chief: Boomer Ward, whose flaring attraction works on Cady's guarded heart. Now, Cady must determine who can be trusted as she draws closer to Boomer and confronts those who wish she'd never returned. Old wounds may be healed, but can Cady close a door on her heartache and embrace a bright new life?",Fern Michaels,2004-01-01,Pocket Books,448.0,Fiction
0440213525,The Client,Eleven-year-old Mark Sway witnesses the bizarre suicide of a New Orleans attorney and is left with a deadly secret concerning the recent murder of a Louisiana senator.,John Grisham,1994,Dell,584.0,Fiction
0385494785,Into Thin Air,"#1 NATIONAL BESTSELLER • The epic account of the storm on the summit of Mt. Everest that claimed five lives and left countless more—including Krakauer's—in guilt-ridden disarray. ""A harrowing tale of the perils of high-altitude climbing, a story of bad luck and worse judgment and of heartbreaking heroism."" —PEOPLE A bank of clouds was assembling on the not-so-distant horizon, but journalist-mountaineer Jon Krakauer, standing on the summit of Mt. Everest, saw nothing that ""suggested that a murderous storm was bearing down."" He was wrong. By writing Into Thin Air, Krakauer may have hoped to exorcise some of his own demons and lay to rest some of the painful questions that still surround the event. He takes great pains to provide a balanced picture of the people and events he witnessed and gives due credit to the tireless and dedicated Sherpas. He also avoids blasting easy targets such as Sandy Pittman, the wealthy socialite who brought an espresso maker along on the expedition. Krakauer's highly personal inquiry into the catastrophe provides a great deal of insight into what went wrong. But for Krakauer himself, further interviews and investigations only lead him to the conclusion that his perceived failures were directly responsible for a fellow climber's death. Clearly, Krakauer remains haunted by the disaster, and although he relates a number of incidents in which he acted selflessly and even heroically, he seems unable to view those instances objectively. In the end, despite his evenhanded and even generous assessment of others' actions, he reserves a full measure of vitriol for himself. This updated trade paperback edition of Into Thin Air includes an extensive new postscript that sheds fascinating light on the acrimonious debate that flared between Krakauer and Everest guide Anatoli Boukreev in the wake of the tragedy. ""I have no doubt that Boukreev's intentions were good on summit day,"" writes Krakauer in the postscript, dated August 1999. ""What disturbs me, though, was Boukreev's refusal to acknowledge the possibility that he made even a single poor decision. Never did he indicate that perhaps it wasn't the best choice to climb without gas or go down ahead of his clients."" As usual, Krakauer supports his points with dogged research and a good dose of humility. But rather than continue the heated discourse that has raged since Into Thin Air's denouncement of guide Boukreev, Krakauer's tone is conciliatory; he points most of his criticism at G. Weston De Walt, who coauthored The Climb, Boukreev's version of events. And in a touching conclusion, Krakauer recounts his last conversation with the late Boukreev, in which the two weathered climbers agreed to disagree about certain points. Krakauer had great hopes to patch things up with Boukreev, but the Russian later died in an avalanche on another Himalayan peak, Annapurna I. In 1999, Krakauer received an Academy Award in Literature from the American Academy of Arts and Letters--a prestigious prize intended ""to honor writers of exceptional accomplishment."" According to the Academy's citation, ""Krakauer combines the tenacity and courage of the finest tradition of investigative journalism with the stylish subtlety and profound insight of the born writer. His account of an ascent of Mount Everest has led to a general reevaluation of climbing and of the commercialization of what was once a romantic, solitary sport; while his account of the life and death of Christopher McCandless, who died of starvation after challenging the Alaskan wilderness, delves even more deeply and disturbingly into the fascination of nature and the devastating effects of its lure on a young and curious mind.""",Jon Krakauer,1999,Vintage,378.0,Biography & Autobiography
0553578731,"I, Jedi: Star Wars Legends","The dramatic story of an X-wing pilot on the razor’s edge between the hero he once was and the power he could have—if he’s willing to embrace the Dark Side Corran Horn was an officer in the Corellian Security Force before casting his lot with the New Republic. As the grandson of a legendary Jedi hero, he has latent Force powers that have yet to be developed. But he has managed to distinguish himself with Rogue Squadron, the X-wing fighter force that has become the scourge of the Empire and of the pirates that prey on Republic shipping. When his wife, Mirax, vanishes on a covert mission for the New Republic, Corran vows to find her. He begins Jedi training at Luke Skywalker’s Jedi academy, hoping to develop his untapped powers. But as Corran grows dissatisfied with the Jedi master’s methods, he chooses to break with the academy before his training is finished. Now Corran is on his own. Using his undercover experience, he must infiltrate, sabotage, and destroy a ruthless organization in order to find his wife. But to succeed, Corran will have to come to terms with his Jedi heritage—and make a terrible choice: surrender to the Dark Side . . . or die.",Michael A. Stackpole,1999-06-01,Random House Worlds,610.0,Fiction
0440211727,A Time to Kill,Courtroom drama of an inhuman crime.,John Grisham,1992,Dell,530.0,Fiction
0553268880,The Prince of Tides,A novel about a man's struggle to overcome the psychological damage inflicted on him during his dysfunctional childhood.,Pat Conroy,1987,Bantam,674.0,Fiction
0553580337,Dune,"Chronicles the origins of the rivalry between Duke Leto and Baron Vladimir Harkonnen, the actions that transformed Duncan Idaho and Gurney Halleck into heroes, the birth of Paul Atreides, and the creation of the tyrannical Padishah Emperor Shaddam Corrino","Brian Herbert, Kevin J. Anderson",2002,Spectra,688.0,Fiction
0451184963,Insomnia,A man starts to notice a strangeness in his surroundings and starts to experience visual phenomena.,Stephen King,1995,Signet Book,676.0,Fiction
0821773682,,,,,,,
0373272081,In the Line of Fire,"In The Line Of Fire by Beverly Bird released on Feb 22, 2002 is available now for purchase.",Beverly Bird,2003,Harlequin Treasury-Silhouette Intim,0.0,Country clubs
